SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,15,Min_Routing,7.5
1,0,0,15,Min_Routing,7.5
2,0,0,15,Min_Routing,7.5
3,0,0,15,Min_Routing,7.5
4,0,0,15,Min_Routing,7.5
5,0,0,15,Min_Routing,7.5
6,0,0,15,Min_Routing,7.5
7,0,0,15,Min_Routing,7.5
8,0,0,15,Min_Routing,7.5
9,0,0,15,Min_Routing,7.5
10,0,0,15,Min_Routing,7.5
11,0,0,15,Min_Routing,7.5
12,0,0,15,Min_Routing,7.5
13,0,0,15,Min_Routing,7.5
14,0,0,15,Min_Routing,7.5
15,0,0,15,Min_Routing,7.5
16,0,0,15,Min_Routing,7.5
17,0,0,15,Min_Routing,7.5
18,0,0,15,Min_Routing,7.5
19,0,0,15,Min_Routing,7.5
20,0,0,15,Min_Routing,7.5
21,0,0,15,Min_Routing,7.5
22,0,0,15,Min_Routing,7.5
23,0,0,15,Min_Routing,7.5
24,0,0,15,Min_Routing,7.5
25,0,0,15,Min_Routing,7.5
26,0,0,15,Min_Routing,7.5
27,0,0,15,Min_Routing,7.5
28,0,0,15,Min_Routing,7.5
29,0,0,15,Min_Routing,7.5
30,0,0,15,Min_Routing,7.5
31,114.688,28,15,Min_Routing,7.5
32,360.448,88,15,Min_Routing,7.5
33,446.464,109,15,Min_Routing,7.5
34,458.752,112,15,Min_Routing,7.5
35,446.464,109,15,Min_Routing,7.5
36,458.752,112,15,Min_Routing,7.5
37,405.504,99,15,Min_Routing,7.5
38,393.216,96,15,Min_Routing,7.5
39,401.408,98,15,Min_Routing,7.5
40,462.848,113,15,Min_Routing,7.5
41,401.408,98,15,Min_Routing,7.5
42,434.176,106,15,Min_Routing,7.5
43,425.984,104,15,Min_Routing,7.5
44,364.544,89,15,Min_Routing,7.5
45,434.176,106,15,Min_Routing,7.5
46,393.216,96,15,Min_Routing,7.5
47,405.504,99,15,Min_Routing,7.5
48,393.216,96,15,Min_Routing,7.5
49,389.12,95,15,Min_Routing,7.5
50,397.312,97,15,Min_Routing,7.5
51,385.024,94,15,Min_Routing,7.5
52,372.736,91,15,Min_Routing,7.5
53,421.888,103,15,Min_Routing,7.5
54,393.216,96,15,Min_Routing,7.5
55,421.888,103,15,Min_Routing,7.5
56,450.56,110,15,Min_Routing,7.5
